ATS;ASST;CDC;INDIRIZZO STRUTTURA;NUMERO SERVIZI ATTIVI;% SERVIZI ATTIVI
Ats Milano;Asst Santi Paolo E Carlo;Casa Di Comunita' Baroni;Via Baroni, 48 - Milano (MI);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Sassi Milano;Via Sassi, 4 - Milano (MI);13;100%
Ats Milano;Asst Rhodense;Casa Di Comunita' Dei Corsico;Via Dei Lavoratori, 42 - Corsico (MI);13;100%
Ats Milano;Asst Santi Paolo E Carlo;Casa Di Comunita' Stromboli Milano;Via Stromboli, 19 - Milano (MI);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' Luigi Cadorna Suzzara;Via Luigi Cadorna, 2 - Suzzara (MN);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Viarana Besana In Brianza;Via Viarana, 38 - Besana In Brianza (MB);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Ricordi - Doria Milano;Via Doria, 52 - Milano (MI);13;100%
Ats Brianza;Asst Di Lecco;Casa Di Comunita' Sceregalli Introbio;Via Sceregalli, 8/A - Introbio (LC);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' Sacchi Castiglione Delle Stiviere;Viale Sacchi, 10/12 - Castiglione Delle Stiviere (MN);13;100%
Ats Montagna;Asst Della Valcamonica;Casa Di Comunita' Nissolina Breno;Via Nissolina, 2 - Breno (BS);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Lecco Agrate Brianza;Via Lecco, 11 - Agrate Brianza (MB);13;100%
Ats Val Padana;Asst Di Crema;Casa Di Comunita' Monte Grappa - Garibaldi Rivolta D'Adda;Via Garibaldi, 24 - Rivolta D'Adda (CR);13;100%
Ats Milano;Asst Di Lodi;Casa Di Comunita' F. Cortese Sant'Angelo Lodigiano;Strada Provinciale, 19 - Sant'Angelo Lodigiano (LO);13;100%
Ats Bergamo;Asst Di Bergamo Est;Casa Di Comunita' Bonomelli Lovere;Piazzale Bonomelli, 6 - Lovere (BG);13;100%
Ats Bergamo;Asst Di Bergamo Est;Casa Di Comunita' Sant'Anna Albino;Via Sant'Anna, 5 - Albino (BG);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Luca Della Robbia Monza;Via Poliziano, 4 - Monza (MB);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Kennedy Brugherio;Via Kennedy, 28 - Brugherio (MB);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Piceno Milano;Viale Piceno, 60 - Milano (MI);13;100%
Ats Brescia;Asst Del Garda;Casa Di Comunita' Donatori Del Sangue Leno;Piazza Donatori Del Sangue, 1 - Leno (BS);13;100%
Ats Brescia;Asst Del Garda;Casa Di Comunita' Grimani Verolanuova;Via Grimani, 16/20 - Verolanuova (BS);13;100%
Ats Milano;Asst Gom Niguarda;Casa Di Comunita' Zara Milano;Viale Zara, 81 - Milano (MI);13;100%
Ats Insubria;Asst Dei Sette Laghi;Casa Di Comunita' Monterosa Varese;Viale Monterosa, 28 - Varese (VA);13;100%
Ats Insubria;Asst Dei Sette Laghi;Casa Di Comunita' Campi Maggiori Arcisate;Via Campi Maggiori, 23 - Arcisate (VA);13;100%
Ats Milano;Asst Rhodense;Casa Di Comunita' Liberta' Settimo Milanese;Via Della Liberta', 33 - Settimo Milanese (MI);13;100%
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Leonardo Da Vinci Gallarate;Corso Leonardo Da Vinci, 1 - Gallarate (VA);13;100%
Ats Milano;Asst Ovest Milanese;Casa Di Comunita' Candiani Legnano;Via Candiani, 2 - Legnano (MI);13;100%
Ats Milano;Asst Ovest Milanese;Casa Di Comunita' Via XI Febbraio;Via XI Febbraio, 31 - Parabiago (MI);13;100%
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Don Minzoni Castellanza;Via Don Minzoni, 25 - Castellanza (VA);13;100%
Ats Brescia;Asst Della Franciacorta;Casa Di Comunita' Bainsizza Orzinuovi;Viale Bainsizza, 22 - Orzinuovi (BS);13;100%
Ats Brescia;Asst Della Franciacorta;Casa Di Comunita' IV Novembre Palazzolo Sull'Oglio;Via IV Novembre, 5 - Palazzolo Sull'Oglio (BS);13;100%
Ats Milano;Asst Melegnano E Della Martesana;Casa Di Comunita' Bellini Gorgonzola;Via Bellini, 5 - Gorgonzola (MI);13;100%
Ats Brescia;Asst Degli Spedali Civili Di Brescia;Casa Di Comunita' Papa Giovanni XXIII Gardone Val Trompia;Via Papa Giovanni XXIII, 4 - Gardone Val Trompia (BS);13;100%
Ats Insubria;Asst Dei Sette Laghi;Casa Di Comunita' Forlanini Luino;Via Forlanini, 6 - Luino (VA);13;100%
Ats Insubria;Asst Dei Sette Laghi;Casa Di Comunita' De Gasperi Gavirate;Piazza De Gasperi, 1 - Gavirate (VA);13;100%
Ats Milano;Asst Melegnano E Della Martesana;Casa Di Comunita' Brambilla Liscate;Via Brambilla, 4/6 - Liscate (MI);13;100%
Ats Insubria;Asst Dei Sette Laghi;Casa Di Comunita' Bordini Angera;Via Bordini, 9 - Angera (VA);13;100%
Ats Milano;Asst Rhodense;Casa Di Comunita' Circonvallazione Lainate;Via Valsesia, 22/V - Lainate (MI);13;100%
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Gramsci Fagnano Olona;Piazza Gramsci, 1 - Fagnano Olona (VA);13;100%
Ats Milano;Asst Rhodense;Casa Di Comunita' Settembrini Rho;Via Settembrini, 1 - Rho (MI);13;100%
Ats Milano;Asst Ovest Milanese;Casa Di Comunita' XXIV Maggio Busto Garolfo;Via XXIV Maggio, 19 - Busto Garolfo (MI);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Giussani Nova Milanese;Via Giussani, 11 - Nova Milanese (MB);13;100%
Ats Milano;Asst Di Lodi;Casa Di Comunita' Don Pozzoni Zelo Buon Persico;Piazza Don Pozzoni, 2 - Zelo Buon Persico (LO);13;100%
Ats Pavia;Asst Di Pavia;Casa Di Comunita' Circonvallazione Varzi;Via Circonvallazione, 3 - Varzi (PV);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Andreetti Centro Valle Intelvi;Via Andreetti, 12 - Centro Valle Intelvi (CO);13;100%
Ats Pavia;Asst Di Pavia;Casa Di Comunita' Montebello Casteggio;Viale Montebello della Battaglia - Casteggio (PV);13;100%
Ats Val Padana;Asst Di Cremona;Casa Di Comunita' Robbiani Soresina;Via Robbiani, 6 - Soresina (CR);13;100%
Ats Montagna;Asst Della Valcamonica;Casa Di Comunita' Barbolini Darfo Boario Terme;Via Barbolini, 1 - Darfo Boario Terme (BS);13;100%
Ats Bergamo;Asst Di Bergamo Est;Casa Di Comunita' Faccanoni Sarnico;Via Faccanoni, 6 - Sarnico (BG);13;100%
Ats Bergamo;Asst Di Bergamo Est;Casa Di Comunita' Manzoni Gazzaniga;Via Manzoni, 130 - Gazzaniga (BG);13;100%
Ats Brianza;Asst Di Lecco;Casa Di Comunita' Vittorio Bachelet Oggiono;Via Vittorio Bachelet, 8 - Oggiono (LC);13;100%
Ats Milano;Asst Ovest Milanese;Casa Di Comunita' Marconi Gaggiano;Via Marconi, 10 - Gaggiano (MI);13;100%
Ats Milano;Asst Ovest Milanese;Casa Di Comunita' Isonzo Vittuone;Via Isonzo, 1 - Vittuone (MI);13;100%
Ats Milano;Asst Ovest Milanese;Casa Di Comunita' Moroni Castano Primo;Via Moroni, 1 - Castano Primo (MI);13;100%
Ats Milano;Asst Ovest Milanese;Casa Di Comunita' Lodovici Abbiategrasso;Piazza Mussi, 1 - Abbiategrasso (MI);13;100%
Ats Brescia;Asst Degli Spedali Civili Di Brescia;Casa Di Comunita' Marconi Brescia;Via Marconi, 26 - Brescia (BS);13;100%
Ats Montagna;Asst Della Valtellina E Dell'Alto Lario;Casa Di Comunita' Tre Pievi Dongo;Via Gentile - Dongo (CO);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Milano Giussano;Via Milano, 65 - Giussano (MB);13;100%
Ats Pavia;Asst Di Pavia;Casa Di Comunita' Dall'Orto Casorate Primo;Via Dall'Orto, 99 - Casorate Primo (PV);13;100%
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Cavour Somma Lombardo;Via Cavour, 2 - Somma Lombardo (VA);13;100%
Ats Montagna;Asst Della Valtellina E Dell'Alto Lario;Casa Di Comunita' Livigno Freita;Via Freita, 1521/B - Livigno (SO);13;100%
Ats Pavia;Asst Di Pavia;Casa Di Comunita' Montegrappa Vigevano;Viale Montegrappa, 5 - Vigevano (PV);13;100%
Ats Milano;Asst Rhodense;Casa Di Comunita' Da Vinci Senago;Via Leonardo Da Vinci, 59 - Senago (MI);13;100%
Ats Pavia;Asst Di Pavia;Casa Di Comunita' Borgo Garlasco;Via Borgo San Siro, 2 - Garlasco (PV);13;100%
Ats Pavia;Asst Di Pavia;Casa Di Comunita' Sturla Voghera;Viale Repubblica, 88 - Voghera (PV);13;100%
Ats Pavia;Asst Di Pavia;Casa Di Comunita' Dei Mille 23 Mede;Viale Dei Mille, 23 - Mede (PV);13;100%
Ats Brescia;Asst Della Franciacorta;Casa Di Comunita' Giardini Garibaldi Iseo;Via Giardini Garibaldi, 2 - Iseo (BS);13;100%
Ats Brescia;Asst Della Franciacorta;Casa Di Comunita' Europa Marone;Via Europa, 10 - Marone (BS);13;100%
Ats Brianza;Asst Di Lecco;Casa Di Comunita' Mandello;Via Degli Alpini, 1 - Mandello Del Lario (LC);13;100%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Monte Limbiate;Via Monte Grappa, 19 - Limbiate (MB);13;100%
Ats Pavia;Asst Di Pavia;Casa Di Comunita' Pavese Mortara;Strada Pavese, 1013 - Mortara (PV);13;100%
Ats Bergamo;Asst Di Bergamo Ovest;Casa Di Comunita' Calusco D'Adda;Via Locatelli, 265 - Calusco D'Adda (BG);13;100%
Ats Bergamo;Asst Di Bergamo Ovest;Casa Di Comunita' Zanica;Via Serio, 1/A - Zanica (BG);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Accursio Milano;Piazzale Accursio, 7 - Milano (MI);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Aldini Milano;Via Aldini, 72/4 - Milano (MI);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Milano Clericetti;Via Clericetti, 22 - Milano (MI);13;100%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Milano Quarenghi;Via Quarenghi, 21 - Milano (MI);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' Xxv Aprile Bozzolo;Via Xxv Aprile, 71 - Bozzolo (MN);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' De Gasperi Viadana;Largo De Gasperi, 7 - Viadana (MN);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' Albertoni Mantova;Viale Albertoni, 1 - Mantova (MN);13;100%
Ats Val Padana;Asst Di Mantova;Casa Di Comunita' Cesare Battisti Sermide E Felonica;Via Cesare Battisti, 29 - Sermide E Felonica (MN);13;100%
Ats Pavia;Asst Pavia;Casa Di Comunita' Corteolona-Genzone;Viale Dei Longobardi, 3 - Corteolona E Genzone (PV);13;100%
Ats Montagna;Asst Della Valcamonica;Casa Di Comunita' Donatori Edolo;Piazza Donatori Di Sangue, 1 - Edolo (BS);13;100%
Ats Pavia;Irccs S. Matteo;Casa Di Comunita' Cavallotti Belgioioso;Via Cavallotti, 123 - Belgioioso (PV);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Rampanone Lomazzo;Via Del Rampanone, 1 - Lomazzo (CO);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Isonzo Mariano Comense;Via Isonzo, 42/B - Mariano Comense (CO);13;100%
Ats Insubria;Asst Lariana;Casa Di Comunita' Giuseppe Verdi Ponte Lambro;Via Giuseppe Verdi, 3 - Ponte Lambro (CO);13;100%
Ats Pavia;Irccs S. Matteo;Casa Di Comunita' Golgi Pavia;Piazzale Golgi, 19 - Pavia (PV);13;100%
Ats Milano;Asst Rhodense;Casa Di Comunita' Vanzago Cornaredo;Via Vanzago, 58 - Cornaredo (MI);0;0%
Ats Brescia;Asst Del Garda;Casa Di Comunita' G. Falcone Montichiari;Via G. Falcone, 20 - Montichiari (BS);0;0%
Ats Brescia;Asst Del Garda;Casa Di Comunita' Mezzocolle Desenzano Del Garda;Via Mezzocolle - Desenzano Del Garda (BS);0;0%
Ats Insubria;Asst Lariana;Casa Di Comunita' Domea Cantu';Via Domea, 4 - Cantù (CO);13;85%
Ats Brianza;Asst Della Brianza;Casa Di Comunita' Borgazzi Monza;Via Borgazzi, 67 - Monza (MB);13;100%
Ats Insubria;Asst Della Valle Olona;Casa Di Comunita' Stampa Soncino Saronno;Via Stampa Soncino, 4 - Saronno (VA);0;0%
Ats Brescia;Asst Del Garda;Casa Di Comunita' Gosa Gavardo;Via Torsella, 3 - Gavardo (BS);0;0%
Ats Bergamo;Asst Di Bergamo Ovest;Casa Di Comunita' Liberta' Ponte San Pietro;Piazza Liberta', 5 - Ponte San Pietro (BG);12;92%
Ats Brescia;Asst Del Garda;Casa Di Comunita' Gen. Reverberi Vestone;Via Gen. Reverberi, 2 - Vestone (BS);13;85%
Ats Milano;Asst Melegnano E Della Martesana;Casa Di Comunita' Guido Rozzano;Via dei Glicini, 14 - Rozzano (MI);11;85%
Ats Milano;Asst Melegnano E Della Martesana;Casa Di Comunita' S. Francesco - Campania Melegnano;Via S. Francesco - Melegnano (MI);11;31%
Ats Milano;Asst Fatebenefratelli Sacco;Casa Di Comunita' Mercato Gorla V.Le Monza Milano;Viale Monza, 148 - Milano (MI);0;0%
Ats Milano;Asst Nord Milano;Casa Di Comunita' Buonarroti Cormano;Via Tobagi - Cormano (MI);0;0%
Ats Insubria;Asst Dei Sette Laghi;Casa Di Comunita' Acquadro Azzate;Via Acquadro, 6 - Azzate (VA);0;0%
Ats Milano;Asst Ovest Milanese;Casa Di Comunita'  Fratelli Rosselli;Via Fratelli Rosselli, 1 - Parabiago (MI);0;0%
Ats Brianza;Irccs S. Gerardo;Casa Di Comunita' Solferino Monza;Via Solferino, 16 - Monza (MB);13;92%
Ats Brescia;Asst Degli Spedali Civili Di Brescia;Casa Di Comunita' Vender Brescia;Via Don G. Vender - Brescia (BS);0;0%
